date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:14	2782/2782	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2244f5e34eb7e3cffc5455b33f7c9080f8%22	https://www.jasidi.com/assets/icon-medal-3b2ad3ae.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-medal-3b2ad3ae.svg	(from https://www.jasidi.com/)
01:29:15	2930/2930	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22479ef074ea5479136b69812d10d39012%22	https://www.jasidi.com/assets/icon-group-c609d852.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-group-c609d852.svg	(from https://www.jasidi.com/)
01:29:16	202998/202998	---M--	200	added ('OK')	image/png	etag:%225eac3422aca4f433d4c69a2b5bd2339e%22	https://www.jasidi.com/assets/batata-page-d2dfffd5.png	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/batata-page-d2dfffd5.png	(from https://www.jasidi.com/)
01:29:17	353019/353019	---M--	200	added ('OK')	image/png	etag:%227411bccb1c40591bdc6bcca65d71d235%22	https://www.jasidi.com/assets/gaming-zone-page-68dec61e.png	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/gaming-zone-page-68dec61e.png	(from https://www.jasidi.com/)
01:29:18	1884/1884	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a791839877c7941152845bfea8019b5c%22	https://www.jasidi.com/assets/icon-instagram-d4aca8b3.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-instagram-d4aca8b3.svg	(from https://www.jasidi.com/)
01:29:18	524/524	---M--	200	added ('OK')	image/svg+xml	etag:%22ceeddebd43a2112a44bf62bbd2923d99%22	https://www.jasidi.com/assets/icon-facebook-1c3a05f5.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-facebook-1c3a05f5.svg	(from https://www.jasidi.com/)
01:29:19	984/984	---M--	200	added ('OK')	image/svg+xml	etag:%22e961165bfbaac0b1c3bc399d0d7b899e%22	https://www.jasidi.com/assets/icon-linkedin-70a540e0.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-linkedin-70a540e0.svg	(from https://www.jasidi.com/)
01:29:21	221087/221087	---M--	200	added ('OK')	image/png	etag:%2204b21c95cbaff0ef740693b70bec999c%22	https://www.jasidi.com/assets/photo-main-mobile-784d596f.png	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/photo-main-mobile-784d596f.png	(from https://www.jasidi.com/assets/index-8469259e.css)
01:29:22	332608/332608	---M--	200	added ('OK')	image/jpeg	etag:%22d93f64d61312d3c53e76270bcb622155%22	https://www.jasidi.com/assets/photo-main-desktop-30aaf927.jpg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/photo-main-desktop-30aaf927.jpg	(from https://www.jasidi.com/assets/index-8469259e.css)
01:29:22	9019/9019	---M--	200	added ('OK')	image/png	etag:%22f7636d11c2e6edccee2fc7e380809db7%22	https://www.jasidi.com/assets/trama-jasi-a9e2dd92.png	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/trama-jasi-a9e2dd92.png	(from https://www.jasidi.com/assets/index-8469259e.css)
01:29:24	71463/71463	---M--	200	added ('OK')	image/jpeg	etag:%22aeec653575efef10f77850a95c26eae5%22	https://www.jasidi.com/assets/photo-contact-form-2ef314cb.jpeg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/photo-contact-form-2ef314cb.jpeg	(from https://www.jasidi.com/assets/index-8469259e.css)
